Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
170554,27in FHD Monitor,1,149.99,04/26/24 08:17,"459 12th St, Noshero Feroz, Pakistan 73301"
170555,AAA Batteries (4-pack),4,2.99,04/03/24 19:27,"262 Old Karachi road St, Bhitt, Pakistan 94016"
170556,ThinkPad Laptop,1,999.99,04/18/24 16:15,"325 Baba Adam road St, Sibbi, Pakistan 10001"
170557,Samsung Phone,1,600.0,04/09/24 21:24,"68 Rizvi thana road St, Attock, Pakistan 75001"
170558,Lightning Charging Cable,1,14.95,04/21/24 14:46,"700 Old Karachi road St, Faisalabad, Pakistan 94016"
170559,Samsung Phone,1,600.0,04/24/24 12:50,"962 Light house St, Noshero Feroz, Pakistan 73301"
170560,Flatscreen TV,1,300.0,04/18/24 12:23,"813 Naya road St, Noshero Feroz, Pakistan 73301"
170561,AAA Batteries (4-pack),3,2.99,04/11/24 23:16,"480 Sindh house road St, Noshero Feroz, Pakistan 73301"
170562,27in FHD Monitor,1,149.99,04/13/24 15:12,"531 Ghalid road St, Attock, Pakistan 75001"
170563,Apple Airpods,1,150.0,04/03/24 10:25,"433 Asad Road St, Sibbi, Pakistan 75001"
170564,Samsung Phone,1,600.0,04/20/24 20:06,"810 Tipu Sultan road St, Faisalabad, Pakistan 75001"
170565,Samsung Phone,1,600.0,04/11/24 19:08,"616 Tipu Sultan road St, Lahore, Pakistan 75001"
170566,USB-C Charging Cable,1,11.95,04/03/24 10:26,"44 New Karachi St, Faisalabad, Pakistan 75001"
170567,Wired Headphones,1,11.99,04/09/24 17:39,"946 Shahra e Faisal St, Bhitt, Pakistan 94016"
170568,AAA Batteries (4-pack),2,2.99,04/17/24 12:23,"277 Niazi Chowk St, Dadu, Pakistan 02215"
170569,AA Batteries (4-pack),1,3.84,04/18/24 09:59,"841 Sindh house road St, Sibbi, Pakistan 10001"
170570,Lightning Charging Cable,1,14.95,04/17/24 10:37,"50 Sindh house road St, Noshero Feroz, Pakistan 10001"
170571,AAA Batteries (4-pack),1,2.99,04/13/24 15:16,"646 Purani Sabzimandi road St, Lahore, Pakistan 94016"
170572,Lightning Charging Cable,1,14.95,04/27/24 12:11,"98 Baghdadi St, Dadu, Pakistan 75001"
170573,34in Ultrawide Monitor,1,379.99,04/28/24 19:48,"145 Bottle Gali St, Noshero Feroz, Pakistan 02215"
170574,27in 4K Gaming Monitor,1,389.99,04/03/24 21:41,"866 Seaview road St, Noshero Feroz, Pakistan 02215"
170575,USB-C Charging Cable,2,11.95,04/14/24 03:13,"162 Faisal Road St, Attock, Pakistan 75001"
170576,Macbook Pro Laptop,1,1700.0,04/12/24 19:54,"39 Madni Road St, Bhitt, Pakistan 73301"
170577,Wired Headphones,1,11.99,04/15/24 07:39,"683 Perfume Chowk St, Bhitt, Pakistan 94016"
170578,Samsung Phone,1,600.0,04/04/24 22:22,"825 Perfume Chowk St, Faisalabad, Pakistan 94016"
170579,20in Monitor,1,109.99,04/17/24 23:17,"159 Saddar road St, Attock, Pakistan 02215"
170580,Wired Headphones,1,11.99,04/29/24 18:00,"629 Niazi Chowk St, Faisalabad, Pakistan 73301"
170581,Qmobile Phone,1,400.0,04/03/24 02:28,"813 8th St, Abottabad, Pakistan 02215"
170582,USB-C Charging Cable,2,11.95,04/10/24 08:06,"479 Old Karachi road St, Lahore, Pakistan 10001"
170583,Lightning Charging Cable,1,14.95,04/22/24 18:21,"60 1st St, Abottabad, Pakistan 10001"
170584,AA Batteries (4-pack),2,3.84,04/15/24 11:33,"198 Hikmat chowk St, Faisalabad, Pakistan 94016"
170585,Lightning Charging Cable,1,14.95,04/07/24 12:46,"173 Bottle Gali St, Faisalabad, Pakistan 10001"
170586,Lightning Charging Cable,1,14.95,04/23/24 20:47,"50 7th St, Attock, Pakistan 02215"
170587,Audionic Sport Headphones,1,99.99,04/29/24 13:49,"340 Purani Sabzimandi road St, Sibbi, Pakistan 73301"
170587,USB-C Charging Cable,1,11.95,04/29/24 13:49,"340 Purani Sabzimandi road St, Sibbi, Pakistan 73301"
170588,Lightning Charging Cable,3,14.95,04/09/24 14:52,"387 7th St, Dadu, Pakistan 73301"
170589,Lightning Charging Cable,1,14.95,04/13/24 10:39,"352 12th St, Faisalabad, Pakistan 02215"
170590,iPhone,1,700.0,04/30/24 12:46,"468 Niazi Chowk St, Faisalabad, Pakistan 02215"
170591,AA Batteries (4-pack),1,3.84,04/22/24 22:33,"841 Bottle Gali St, Sibbi, Pakistan 73301"
170592,Lightning Charging Cable,1,14.95,04/19/24 10:17,"373 Perfume Chowk St, Faisalabad, Pakistan 10001"
170593,AAA Batteries (4-pack),1,2.99,04/18/24 09:30,"682 Kharadar St, Sibbi, Pakistan 02215"
170594,Samsung Phone,1,600.0,04/06/24 12:03,"372 Jafri sons Road St, Faisalabad, Pakistan 75001"
170595,AAA Batteries (4-pack),1,2.99,04/14/24 21:19,"762 Perfume Chowk St, Faisalabad, Pakistan 73301"
170596,Apple Airpods,1,150.0,04/27/24 07:10,"852 Agra Taj St, Sibbi, Pakistan 10001"
170597,Wired Headphones,1,11.99,04/29/24 10:07,"212 Sindh house road St, Abottabad, Pakistan 02215"
