Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
228306,AA Batteries (4-pack),1,3.84,08/14/24 22:54,"462 New Karachi St, Lahore, Pakistan 02215"
228307,Lightning Charging Cable,1,14.95,08/06/24 17:12,"949 Madni Road St, Noshero Feroz, Pakistan 73301"
228308,USB-C Charging Cable,1,11.95,08/10/24 15:26,"373 5th St, Faisalabad, Pakistan 02215"
228309,Audionic Sport Headphones,1,99.99,08/18/24 01:15,"69 2nd St, Attock, Pakistan 75001"
228310,ThinkPad Laptop,1,999.99,08/21/24 22:39,"847 8th St, Faisalabad, Pakistan 10001"
228311,AAA Batteries (4-pack),1,2.99,08/23/24 08:49,"465 Baba Adam road St, Faisalabad, Pakistan 94016"
228312,Samsung Phone,1,600.0,08/18/24 20:38,"987 Old Karachi road St, Faisalabad, Pakistan 10001"
228313,Audionic Sport Headphones,1,99.99,08/24/24 23:43,"675 Liaqat Chowk St, Lahore, Pakistan 10001"
228314,ThinkPad Laptop,1,999.99,08/03/24 09:18,"392 Sindh house road St, Abottabad, Pakistan 75001"
228315,AA Batteries (4-pack),1,3.84,08/17/24 18:49,"182 Seaview road St, Bhitt, Pakistan 75001"
228316,ThinkPad Laptop,1,999.99,08/06/24 16:20,"95 Saifi road St, Faisalabad, Pakistan 73301"
228317,AA Batteries (4-pack),1,3.84,08/08/24 14:50,"482 Baghdadi St, Faisalabad, Pakistan 94016"
228318,AAA Batteries (4-pack),1,2.99,08/02/24 18:02,"142 Asad Road St, Faisalabad, Pakistan 10001"
228319,34in Ultrawide Monitor,1,379.99,08/18/24 20:18,"318 Urdu Bazar road St, Lahore, Pakistan 10001"
228320,USB-C Charging Cable,1,11.95,08/19/24 12:06,"484 4th St, Dadu, Pakistan 10001"
228321,Wired Headphones,1,11.99,08/07/24 09:27,"639 Bhains Colony St, Attock, Pakistan 75001"
228322,ThinkPad Laptop,1,999.99,08/09/24 15:58,"569 New Karachi St, Sibbi, Pakistan 94016"
228323,Wired Headphones,1,11.99,08/25/24 18:38,"579 Baghdadi St, Lahore, Pakistan 10001"
228324,Lightning Charging Cable,1,14.95,08/07/24 09:50,"150 Asad Road St, Lahore, Pakistan 94016"
228325,Lightning Charging Cable,1,14.95,08/12/24 11:13,"860 7th St, Dadu, Pakistan 73301"
228326,Macbook Pro Laptop,1,1700.0,08/31/24 00:06,"7 Urdu Bazar road St, Bhitt, Pakistan 02215"
