Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
291943,Samsung Phone,1,600.0,12/28/24 20:09,"803 Seaview road St, Lahore, Pakistan 73301"
291944,27in FHD Monitor,1,149.99,12/21/24 12:10,"353 Shujaat Road St, Lahore, Pakistan 02215"
291945,ThinkPad Laptop,1,999.99,12/07/24 15:05,"71 Seaview road St, Faisalabad, Pakistan 73301"
291945,Apple Airpods,1,150.0,12/07/24 15:05,"71 Seaview road St, Faisalabad, Pakistan 73301"
291946,Macbook Pro Laptop,1,1700.0,12/21/24 16:52,"19 Mithadar St, Faisalabad, Pakistan 10001"
291947,Audionic Sport Headphones,1,99.99,12/13/24 06:19,"194 Sindh house road St, Dadu, Pakistan 10001"
291947,USB-C Charging Cable,1,11.95,12/13/24 06:19,"194 Sindh house road St, Dadu, Pakistan 10001"
291948,20in Monitor,1,109.99,12/02/24 14:32,"161 Baghdadi St, Attock, Pakistan 02215"
291949,ThinkPad Laptop,1,999.99,12/10/24 09:47,"90 Street 1 St, Dadu, Pakistan 10001"
291950,Wired Headphones,1,11.99,12/11/24 16:30,"925 Faisal Road St, Lahore, Pakistan 94016"
291951,AA Batteries (4-pack),1,3.84,12/25/24 20:45,"205 5th St, Peshawar, Pakistan 75001"
291952,Samsung Phone,1,600.0,12/08/24 19:43,"385 Madni Road St, Lahore, Pakistan 02215"
291953,iPhone,1,700.0,12/22/24 15:05,"358 Old Karachi road St, Faisalabad, Pakistan 94016"
291954,USB-C Charging Cable,1,11.95,12/07/24 08:24,"101 Hikmat chowk St, Bhitt, Pakistan 73301"
291955,AAA Batteries (4-pack),1,2.99,12/04/24 21:29,"508 Perfume Chowk St, Lahore, Pakistan 73301"
291956,Lightning Charging Cable,1,14.95,12/25/24 12:14,"79 Saddar road St, Dadu, Pakistan 10001"
291957,ThinkPad Laptop,1,999.99,12/05/24 10:01,"870 Mukka Chowk St, Bhitt, Pakistan 94016"
291958,Wired Headphones,1,11.99,12/09/24 19:54,"69 Agra Taj St, Faisalabad, Pakistan 73301"
291959,AAA Batteries (4-pack),2,2.99,12/23/24 21:03,"102 Bhains Colony St, Peshawar, Pakistan 10001"
291960,Apple Airpods,1,150.0,12/19/24 09:02,"578 Ilmi kitab ghar road St, Lahore, Pakistan 10001"
291961,LG Laptop Battery,1,600.0,12/25/24 15:02,"250 Tipu Sultan road St, Dadu, Pakistan 10001"
291962,iPhone,1,700.0,12/08/24 08:16,"345 Kharadar St, Dadu, Pakistan 73301"
291963,Lightning Charging Cable,1,14.95,12/28/24 14:50,"357 Bhains Colony St, Attock, Pakistan 02215"
291964,USB-C Charging Cable,1,11.95,12/07/24 16:17,"431 Purani Sabzimandi road St, Dadu, Pakistan 02215"
291965,27in FHD Monitor,1,149.99,12/04/24 21:58,"975 4th St, Faisalabad, Pakistan 10001"
291966,27in 4K Gaming Monitor,1,389.99,12/27/24 12:36,"666 6th St, Lahore, Pakistan 75001"
291967,Qmobile Phone,1,400.0,12/23/24 10:49,"437 Shujaat Road St, Faisalabad, Pakistan 94016"
291968,AA Batteries (4-pack),1,3.84,12/06/24 21:50,"49 Bottle Gali St, Abottabad, Pakistan 10001"
291969,27in FHD Monitor,1,149.99,12/11/24 00:14,"794 Madni Road St, Noshero Feroz, Pakistan 10001"
291970,USB-C Charging Cable,1,11.95,12/05/24 22:59,"83 New Karachi St, Lahore, Pakistan 10001"
291971,27in FHD Monitor,1,149.99,12/25/24 17:28,"966 Iqbal Road St, Faisalabad, Pakistan 75001"
291972,Samsung Phone,1,600.0,12/14/24 15:01,"407 Naya road St, Lahore, Pakistan 10001"
291973,AA Batteries (4-pack),2,3.84,12/11/24 19:28,"130 Urdu Bazar road St, Attock, Pakistan 75001"
