Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
154160,ThinkPad Laptop,1,999.99,02/23/24 13:26,"624 Kharadar St, Noshero Feroz, Pakistan 94016"
154161,Apple Airpods,1,150.0,02/01/24 19:21,"255 Rizvi thana road St, Dadu, Pakistan 10001"
154162,AA Batteries (4-pack),1,3.84,02/12/24 11:36,"966 Tipu Sultan road St, Dadu, Pakistan 94016"
154163,34in Ultrawide Monitor,1,379.99,02/29/24 23:48,"726 Madni Road St, Faisalabad, Pakistan 73301"
154164,Apple Airpods,1,150.0,02/23/24 16:04,"137 Street 1 St, Attock, Pakistan 02215"
154165,34in Ultrawide Monitor,1,379.99,02/25/24 09:04,"502 Ilmi kitab ghar road St, Dadu, Pakistan 10001"
154166,AA Batteries (4-pack),1,3.84,02/15/24 08:05,"489 6th St, Sibbi, Pakistan 75001"
154167,Apple Airpods,1,150.0,02/16/24 01:45,"38 Street 1 St, Faisalabad, Pakistan 73301"
154168,Samsung Phone,1,600.0,02/13/24 17:41,"292 Niazi Chowk St, Lahore, Pakistan 75001"
154169,Wired Headphones,1,11.99,02/19/24 13:53,"817 Shahra e Faisal St, Faisalabad, Pakistan 73301"
154170,Apple Airpods,1,150.0,02/26/24 08:52,"504 Madni Road St, Peshawar, Pakistan 94016"
154171,USB-C Charging Cable,1,11.95,02/19/24 18:15,"675 New Karachi St, Dadu, Pakistan 10001"
154172,Lightning Charging Cable,1,14.95,02/05/24 09:40,"855 Agra Taj St, Faisalabad, Pakistan 73301"
154173,iPhone,1,700.0,02/06/24 11:26,"835 Seaview road St, Bhitt, Pakistan 10001"
154174,Audionic Sport Headphones,1,99.99,02/17/24 16:26,"644 Hikmat chowk St, Faisalabad, Pakistan 73301"
154174,USB-C Charging Cable,1,11.95,02/17/24 16:26,"644 Hikmat chowk St, Faisalabad, Pakistan 73301"
154175,Wired Headphones,1,11.99,02/29/24 17:26,"47 Old Karachi road St, Lahore, Pakistan 94016"
154176,AAA Batteries (4-pack),1,2.99,02/22/24 09:40,"743 Saddar road St, Faisalabad, Pakistan 73301"
