Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
141234,Apple Airpods,1,150.0,01/12/24 08:02,"501 New Karachi St, Faisalabad, Pakistan 75001"
141235,Lightning Charging Cable,1,14.95,01/04/24 11:30,"694 Ilmi kitab ghar road St, Bhitt, Pakistan 94016"
141236,27in 4K Gaming Monitor,1,389.99,01/01/24 19:08,"716 Old Karachi road St, Faisalabad, Pakistan 94016"
141237,Audionic Sport Headphones,1,99.99,01/27/24 13:42,"856 Madni Road St, Sibbi, Pakistan 02215"
141237,USB-C Charging Cable,2,11.95,01/27/24 13:42,"856 Madni Road St, Sibbi, Pakistan 02215"
141238,Audionic Sport Headphones,1,99.99,01/19/24 00:22,"770 Bhains Colony St, Peshawar, Pakistan 94016"
141238,USB-C Charging Cable,1,11.95,01/19/24 00:22,"770 Bhains Colony St, Peshawar, Pakistan 94016"
141239,Audionic Sport Headphones,1,99.99,01/18/24 22:12,"933 Quad-e-Azam Road St, Faisalabad, Pakistan 73301"
141240,iPhone,1,700.0,01/18/24 16:03,"43 Old Karachi road St, Dadu, Pakistan 75001"
141241,AA Batteries (4-pack),1,3.84,01/21/24 16:52,"541 Rizvi thana road St, Dadu, Pakistan 73301"
141242,27in FHD Monitor,1,149.99,01/12/24 03:48,"266 Hikmat chowk St, Sibbi, Pakistan 94016"
141243,Wired Headphones,1,11.99,01/07/24 07:12,"92 11th St, Faisalabad, Pakistan 02215"
141244,Apple Airpods,1,150.0,01/04/24 15:52,"920 4th St, Attock, Pakistan 10001"
141245,Lightning Charging Cable,1,14.95,01/25/24 22:01,"567 Perfume Chowk St, Abottabad, Pakistan 10001"
141246,USB-C Charging Cable,1,11.95,01/12/24 08:23,"371 Saifi road St, Bhitt, Pakistan 75001"
141247,27in FHD Monitor,1,149.99,01/28/24 22:08,"9 Faisal Road St, Sibbi, Pakistan 75001"
141248,Audionic Sport Headphones,1,99.99,01/02/24 20:57,"152 Quad-e-Azam Road St, Faisalabad, Pakistan 02215"
141249,Lightning Charging Cable,1,14.95,01/15/24 23:29,"230 Ghalid road St, Peshawar, Pakistan 94016"
141250,Apple Airpods,1,150.0,01/02/24 14:29,"293 Shujaat Road St, Faisalabad, Pakistan 75001"
141251,Wired Headphones,1,11.99,01/12/24 13:08,"200 5th St, Noshero Feroz, Pakistan 94016"
141252,Audionic Sport Headphones,1,99.99,01/17/24 15:32,"889 Light house St, Sibbi, Pakistan 10001"
141253,Lightning Charging Cable,1,14.95,01/23/24 00:58,"495 10th St, Bhitt, Pakistan 10001"
141254,Flatscreen TV,1,300.0,01/18/24 13:14,"601 Agra Taj St, Faisalabad, Pakistan 02215"
141255,Macbook Pro Laptop,1,1700.0,01/21/24 15:23,"954 11th St, Noshero Feroz, Pakistan 75001"
141256,Apple Airpods,1,150.0,01/18/24 18:13,"308 Kharadar St, Faisalabad, Pakistan 02215"
141257,ThinkPad Laptop,1,999.99,01/24/24 11:24,"856 Shireen Jinnah road St, Peshawar, Pakistan 75001"
141258,Macbook Pro Laptop,1,1700.0,01/29/24 21:04,"287 4th St, Faisalabad, Pakistan 94016"
141259,AA Batteries (4-pack),1,3.84,01/14/24 11:15,"404 7th St, Sibbi, Pakistan 02215"
