Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
212041,AA Batteries (4-pack),2,3.84,07/22/24 11:53,"334 Pakistan Chowk St, Attock, Pakistan 10001"
212042,Lightning Charging Cable,1,14.95,07/05/24 19:34,"619 Hikmat chowk St, Bhitt, Pakistan 94016"
212043,Apple Airpods,1,150.0,07/13/24 18:58,"612 Urdu Bazar road St, Bhitt, Pakistan 10001"
212044,AAA Batteries (4-pack),2,2.99,07/17/24 18:22,"943 Asad Road St, Faisalabad, Pakistan 75001"
212045,USB-C Charging Cable,1,11.95,07/15/24 21:42,"324 Faisal Road St, Faisalabad, Pakistan 94016"
212046,27in FHD Monitor,1,149.99,07/24/24 12:05,"239 Asad Road St, Dadu, Pakistan 10001"
212047,Apple Airpods,1,150.0,07/31/24 14:28,"67 Rizvi thana road St, Noshero Feroz, Pakistan 94016"
212048,USB-C Charging Cable,1,11.95,07/07/24 16:14,"257 Sindh house road St, Faisalabad, Pakistan 73301"
212049,USB-C Charging Cable,1,11.95,08/01/24 02:49,"312 Ilmi kitab ghar road St, Peshawar, Pakistan 73301"
212050,Lightning Charging Cable,1,14.95,07/17/24 12:11,"972 Agra Taj St, Lahore, Pakistan 02215"
212051,Flatscreen TV,1,300.0,07/18/24 12:06,"488 Ilmi kitab ghar road St, Bhitt, Pakistan 75001"
212052,AA Batteries (4-pack),1,3.84,07/21/24 13:48,"584 10th St, Lahore, Pakistan 02215"
212053,ThinkPad Laptop,1,999.99,07/28/24 14:28,"879 6th St, Dadu, Pakistan 10001"
212053,Apple Airpods,1,150.0,07/28/24 14:28,"879 6th St, Dadu, Pakistan 10001"
212054,27in 4K Gaming Monitor,1,389.99,07/07/24 19:34,"118 Street 1 St, Faisalabad, Pakistan 10001"
212055,Wired Headphones,2,11.99,07/11/24 09:56,"322 Mukka Chowk St, Lahore, Pakistan 02215"
212056,Wired Headphones,1,11.99,07/22/24 10:51,"576 Niazi Chowk St, Dadu, Pakistan 75001"
212057,Lightning Charging Cable,1,14.95,07/17/24 21:56,"267 Hikmat chowk St, Peshawar, Pakistan 02215"
212058,Wired Headphones,2,11.99,07/07/24 13:56,"316 4th St, Dadu, Pakistan 10001"
212059,USB-C Charging Cable,1,11.95,07/21/24 13:00,"468 Kachi gali St, Faisalabad, Pakistan 73301"
212060,Audionic Sport Headphones,1,99.99,07/29/24 16:54,"548 Sindh house road St, Attock, Pakistan 02215"
212061,34in Ultrawide Monitor,1,379.99,07/18/24 06:16,"799 Baba Adam road St, Lahore, Pakistan 10001"
212062,Apple Airpods,1,150.0,07/06/24 15:23,"201 Kharadar St, Abottabad, Pakistan 94016"
212063,USB-C Charging Cable,1,11.95,07/30/24 19:38,"620 Bhains Colony St, Bhitt, Pakistan 73301"
