Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
197948,AA Batteries (4-pack),2,3.84,06/25/24 17:25,"550 Urdu Bazar road St, Noshero Feroz, Pakistan 75001"
197949,Audionic Sport Headphones,1,99.99,06/03/24 21:45,"286 Pakistan Chowk St, Lahore, Pakistan 75001"
197950,27in FHD Monitor,1,149.99,06/04/24 23:44,"636 Kachi gali St, Noshero Feroz, Pakistan 75001"
197951,27in FHD Monitor,1,149.99,06/27/24 09:43,"292 Old Karachi road St, Lahore, Pakistan 73301"
197952,Apple Airpods,1,150.0,06/03/24 19:09,"338 Bhains Colony St, Lahore, Pakistan 73301"
197953,Lightning Charging Cable,1,14.95,06/19/24 09:45,"525 Iqbal Road St, Faisalabad, Pakistan 73301"
197954,AAA Batteries (4-pack),1,2.99,06/27/24 07:51,"937 Hikmat chowk St, Lahore, Pakistan 10001"
197955,USB-C Charging Cable,1,11.95,06/18/24 18:42,"169 Mukka Chowk St, Dadu, Pakistan 75001"
197956,AAA Batteries (4-pack),1,2.99,06/28/24 18:03,"246 6th St, Faisalabad, Pakistan 94016"
197957,Apple Airpods,1,150.0,06/06/24 14:49,"960 Baghdadi St, Faisalabad, Pakistan 02215"
197958,Apple Airpods,1,150.0,06/09/24 10:06,"178 4th St, Faisalabad, Pakistan 02215"
197959,USB-C Charging Cable,1,11.95,06/26/24 20:50,"551 Shahra e Faisal St, Faisalabad, Pakistan 75001"
197960,Apple Airpods,1,150.0,06/12/24 15:40,"621 Seaview road St, Faisalabad, Pakistan 75001"
197961,AA Batteries (4-pack),1,3.84,06/12/24 19:56,"110 Bottle Gali St, Faisalabad, Pakistan 73301"
197962,USB-C Charging Cable,2,11.95,06/23/24 09:21,"116 Shahra e Faisal St, Lahore, Pakistan 94016"
197963,20in Monitor,1,109.99,06/29/24 07:24,"463 Ilmi kitab ghar road St, Faisalabad, Pakistan 73301"
197964,Audionic Sport Headphones,1,99.99,06/28/24 14:02,"497 Kachi gali St, Sibbi, Pakistan 73301"
197965,Samsung Phone,1,600.0,06/04/24 00:11,"401 Tipu Sultan road St, Sibbi, Pakistan 73301"
197966,Lightning Charging Cable,1,14.95,06/20/24 17:27,"360 Urdu Bazar road St, Faisalabad, Pakistan 10001"
,,,,,
197967,AA Batteries (4-pack),1,3.84,06/01/24 13:59,"502 Seaview road St, Dadu, Pakistan 94016"
197968,USB-C Charging Cable,1,11.95,06/27/24 12:40,"715 Asad Road St, Lahore, Pakistan 73301"
197969,27in 4K Gaming Monitor,1,389.99,06/10/24 21:50,"363 Perfume Chowk St, Abottabad, Pakistan 75001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
197970,iPhone,1,700,06/26/24 14:42,"865 7th St, Lahore, Pakistan 94016"
197971,iPhone,1,700,06/14/24 17:16,"428 2nd St, Peshawar, Pakistan 73301"
197972,Audionic Sport Headphones,1,99.99,06/04/24 12:11,"2 11th St, Bhitt, Pakistan 02215"
197973,AA Batteries (4-pack),1,3.84,06/30/24 16:11,"109 Naya road St, Noshero Feroz, Pakistan 10001"
197974,Flatscreen TV,1,300,06/07/24 20:09,"1 Street 1 St, Sibbi, Pakistan 02215"
197975,Wired Headphones,1,11.99,06/28/24 07:45,"986 New Karachi St, Bhitt, Pakistan 02215"
197976,Apple Airpods,1,150,06/06/24 22:07,"596 Niazi Chowk St, Bhitt, Pakistan 73301"
197977,iPhone,1,700,06/20/24 12:48,"839 Ghalid road St, Dadu, Pakistan 73301"
197978,USB-C Charging Cable,1,11.95,06/28/24 18:10,"216 Pakistan Chowk St, Bhitt, Pakistan 10001"
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
197979,AAA Batteries (4-pack),2,2.99,06/22/24 15:29,"522 Street 1 St, Dadu, Pakistan 73301"
197980,Lightning Charging Cable,1,14.95,06/29/24 15:32,"488 1st St, Faisalabad, Pakistan 10001"
197981,USB-C Charging Cable,1,11.95,06/08/24 22:39,"124 11th St, Bhitt, Pakistan 10001"
197982,Apple Airpods,1,150,06/26/24 00:43,"209 Shahra e Faisal St, Lahore, Pakistan 02215"
197983,Wired Headphones,1,11.99,06/30/24 12:09,"174 1st St, Lahore, Pakistan 73301"
197984,Audionic Sport Headphones,1,99.99,06/02/24 22:07,"163 11th St, Noshero Feroz, Pakistan 94016"
197985,Lightning Charging Cable,1,14.95,06/11/24 10:49,"844 Ilmi kitab ghar road St, Lahore, Pakistan 73301"
197986,34in Ultrawide Monitor,1,379.99,06/17/24 18:29,"280 4th St, Abottabad, Pakistan 73301"
197987,LG Laptop Battery,1,600.0,06/20/24 14:29,"620 6th St, Faisalabad, Pakistan 10001"
197988,27in 4K Gaming Monitor,1,389.99,06/28/24 21:15,"708 Kharadar St, Lahore, Pakistan 73301"
197989,27in FHD Monitor,1,149.99,06/25/24 19:45,"417 Bottle Gali St, Peshawar, Pakistan 10001"
197990,Audionic Sport Headphones,1,99.99,06/05/24 22:29,"624 Saddar road St, Lahore, Pakistan 02215"
197990,USB-C Charging Cable,1,11.95,06/05/24 22:29,"624 Saddar road St, Lahore, Pakistan 02215"
197991,Wired Headphones,2,11.99,06/17/24 12:01,"861 4th St, Abottabad, Pakistan 02215"
197992,USB-C Charging Cable,1,11.95,06/17/24 00:38,"529 Saifi road St, Faisalabad, Pakistan 02215"
197993,Wired Headphones,2,11.99,06/11/24 19:53,"177 Ilmi kitab ghar road St, Sibbi, Pakistan 94016"
197994,AA Batteries (4-pack),1,3.84,06/09/24 11:24,"825 Shujaat Road St, Noshero Feroz, Pakistan 73301"
197995,AAA Batteries (4-pack),1,2.99,06/25/24 03:19,"133 Faisal Road St, Lahore, Pakistan 73301"
197996,AA Batteries (4-pack),1,3.84,06/28/24 06:00,"957 Bottle Gali St, Lahore, Pakistan 02215"
197997,Lightning Charging Cable,1,14.95,06/20/24 18:06,"904 Liaqat Chowk St, Attock, Pakistan 02215"
197998,Lightning Charging Cable,1,14.95,06/22/24 08:42,"830 10th St, Sibbi, Pakistan 10001"
197999,Apple Airpods,1,150,06/14/24 18:57,"678 Liaqat Chowk St, Abottabad, Pakistan 02215"
198000,ThinkPad Laptop,1,999.99,06/24/24 20:36,"859 4th St, Attock, Pakistan 10001"
