Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
160026,AA Batteries (4-pack),3,3.84,03/22/24 12:10,"196 Naya road St, Faisalabad, Pakistan 75001"
160027,Wired Headphones,1,11.99,03/07/24 15:43,"609 10th St, Peshawar, Pakistan 73301"
160028,AA Batteries (4-pack),1,3.84,03/19/24 07:22,"774 Old Karachi road St, Noshero Feroz, Pakistan 75001"
160029,iPhone,1,700.0,03/06/24 09:09,"268 6th St, Peshawar, Pakistan 75001"
160030,Samsung Phone,1,600.0,03/23/24 22:52,"305 Saddar road St, Faisalabad, Pakistan 10001"
160031,ThinkPad Laptop,1,999.99,03/16/24 10:42,"65 Tipu Sultan road St, Lahore, Pakistan 10001"
160032,Apple Airpods,1,150.0,03/17/24 21:42,"574 Niazi Chowk St, Faisalabad, Pakistan 10001"
160033,USB-C Charging Cable,1,11.95,03/28/24 07:12,"551 New Karachi St, Faisalabad, Pakistan 75001"
160034,Apple Airpods,1,150.0,03/16/24 16:35,"154 Saddar road St, Peshawar, Pakistan 02215"
160035,27in FHD Monitor,1,149.99,03/12/24 09:43,"236 Faisal Road St, Dadu, Pakistan 94016"
160036,Wired Headphones,1,11.99,03/10/24 23:32,"736 Sindh house road St, Dadu, Pakistan 73301"
160037,Flatscreen TV,1,300.0,03/18/24 16:29,"74 Bhains Colony St, Lahore, Pakistan 73301"
160038,27in FHD Monitor,1,149.99,03/22/24 23:44,"724 Purani Sabzimandi road St, Faisalabad, Pakistan 75001"
160039,USB-C Charging Cable,1,11.95,03/16/24 20:50,"365 Seaview road St, Faisalabad, Pakistan 94016"
160040,AAA Batteries (4-pack),1,2.99,03/31/24 13:13,"712 New Karachi St, Faisalabad, Pakistan 94016"
160041,iPhone,1,700.0,03/30/24 16:32,"542 Shireen Jinnah road St, Abottabad, Pakistan 75001"
160042,AA Batteries (4-pack),1,3.84,03/15/24 11:09,"471 4th St, Peshawar, Pakistan 10001"
160043,34in Ultrawide Monitor,1,379.99,03/04/24 20:42,"414 8th St, Lahore, Pakistan 73301"
160044,AAA Batteries (4-pack),1,2.99,03/02/24 13:27,"173 Ghalid road St, Faisalabad, Pakistan 10001"
160045,Lightning Charging Cable,1,14.95,03/21/24 20:47,"402 Asad Road St, Lahore, Pakistan 10001"
160046,AA Batteries (4-pack),2,3.84,03/19/24 13:11,"583 New Karachi St, Dadu, Pakistan 75001"
160047,Audionic Sport Headphones,1,99.99,03/19/24 09:06,"675 Saddar road St, Sibbi, Pakistan 02215"
160047,Wired Headphones,1,11.99,03/19/24 09:06,"675 Saddar road St, Sibbi, Pakistan 02215"
160048,AA Batteries (4-pack),1,3.84,03/29/24 10:36,"599 New Karachi St, Lahore, Pakistan 02215"
160049,Lightning Charging Cable,1,14.95,03/17/24 10:01,"581 8th St, Faisalabad, Pakistan 75001"
160050,AAA Batteries (4-pack),1,2.99,03/13/24 11:31,"113 Kachi gali St, Attock, Pakistan 94016"
160051,Flatscreen TV,1,300.0,03/23/24 20:32,"231 Old Karachi road St, Bhitt, Pakistan 02215"
160052,Apple Airpods,1,150.0,03/15/24 16:39,"977 Baghdadi St, Lahore, Pakistan 02215"
160053,Samsung Phone,1,600.0,03/13/24 10:14,"235 8th St, Lahore, Pakistan 75001"
160053,Wired Headphones,1,11.99,03/13/24 10:14,"235 8th St, Lahore, Pakistan 75001"
160054,AAA Batteries (4-pack),2,2.99,03/17/24 14:05,"671 Mukka Chowk St, Abottabad, Pakistan 75001"
160055,AA Batteries (4-pack),1,3.84,03/02/24 12:30,"914 Seaview road St, Attock, Pakistan 75001"
160056,AAA Batteries (4-pack),2,2.99,03/25/24 12:39,"737 Shahra e Faisal St, Noshero Feroz, Pakistan 10001"
160057,AA Batteries (4-pack),1,3.84,03/01/24 22:47,"494 Mithadar St, Bhitt, Pakistan 10001"
160058,USB-C Charging Cable,1,11.95,03/22/24 09:22,"584 Shireen Jinnah road St, Bhitt, Pakistan 75001"
160059,iPhone,1,700.0,03/11/24 20:36,"258 Bhains Colony St, Dadu, Pakistan 75001"
160060,Wired Headphones,1,11.99,03/26/24 06:51,"219 11th St, Faisalabad, Pakistan 94016"
160061,Audionic Sport Headphones,1,99.99,03/05/24 18:51,"662 Seaview road St, Noshero Feroz, Pakistan 10001"
