Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
180356,AA Batteries (4-pack),1,3.84,05/23/24 11:56,"135 5th St, Faisalabad, Pakistan 94016"
180357,34in Ultrawide Monitor,1,379.99,05/11/24 05:44,"797 Rizvi thana road St, Dadu, Pakistan 10001"
180358,AAA Batteries (4-pack),1,2.99,05/18/24 14:51,"401 Old Karachi road St, Faisalabad, Pakistan 02215"
180359,USB-C Charging Cable,1,11.95,05/20/24 20:04,"732 6th St, Noshero Feroz, Pakistan 73301"
180360,AA Batteries (4-pack),1,3.84,05/30/24 13:43,"898 Bottle Gali St, Attock, Pakistan 75001"
180361,Lightning Charging Cable,2,14.95,05/24/24 18:44,"822 1st St, Faisalabad, Pakistan 02215"
180362,Apple Airpods,1,150.0,05/17/24 17:03,"232 10th St, Lahore, Pakistan 02215"
180363,Apple Airpods,1,150.0,05/29/24 20:13,"39 Kharadar St, Abottabad, Pakistan 73301"
180364,USB-C Charging Cable,1,11.95,05/06/24 14:53,"294 Iqbal Road St, Bhitt, Pakistan 75001"
180365,AA Batteries (4-pack),1,3.84,05/04/24 20:25,"641 Pakistan Chowk St, Lahore, Pakistan 10001"
180366,AA Batteries (4-pack),1,3.84,05/31/24 08:11,"134 1st St, Attock, Pakistan 75001"
180367,Lightning Charging Cable,1,14.95,05/04/24 15:26,"633 7th St, Faisalabad, Pakistan 02215"
180368,Macbook Pro Laptop,1,1700.0,05/26/24 13:36,"708 11th St, Lahore, Pakistan 75001"
180369,Lightning Charging Cable,1,14.95,05/08/24 22:29,"737 Urdu Bazar road St, Noshero Feroz, Pakistan 75001"
180370,Audionic Sport Headphones,1,99.99,05/12/24 17:13,"760 Mithadar St, Faisalabad, Pakistan 75001"
180370,LG Laptop Battery,1,600.0,05/12/24 17:13,"760 Mithadar St, Faisalabad, Pakistan 75001"
180371,Samsung Phone,1,600.0,05/04/24 10:55,"116 1st St, Sibbi, Pakistan 02215"
180372,AA Batteries (4-pack),2,3.84,05/17/24 09:33,"244 Agra Taj St, Faisalabad, Pakistan 75001"
180373,27in FHD Monitor,1,149.99,05/03/24 15:23,"615 Mithadar St, Faisalabad, Pakistan 02215"
180374,Wired Headphones,1,11.99,05/13/24 13:00,"321 Street 1 St, Faisalabad, Pakistan 94016"
180375,AAA Batteries (4-pack),1,2.99,05/17/24 10:19,"27 Baba Adam road St, Faisalabad, Pakistan 75001"
180376,Qmobile Phone,1,400.0,05/29/24 13:23,"47 Niazi Chowk St, Lahore, Pakistan 94016"
180377,Lightning Charging Cable,1,14.95,05/10/24 12:54,"504 Quad-e-Azam Road St, Bhitt, Pakistan 02215"
180378,AAA Batteries (4-pack),1,2.99,05/01/24 17:04,"850 Iqbal Road St, Bhitt, Pakistan 94016"
180379,34in Ultrawide Monitor,1,379.99,05/19/24 19:49,"677 Ilmi kitab ghar road St, Peshawar, Pakistan 73301"
180380,Audionic Sport Headphones,1,99.99,05/13/24 06:47,"566 Asad Road St, Faisalabad, Pakistan 10001"
180381,Lightning Charging Cable,1,14.95,05/09/24 19:40,"574 1st St, Lahore, Pakistan 75001"
180382,34in Ultrawide Monitor,1,379.99,05/21/24 19:16,"14 Street 1 St, Faisalabad, Pakistan 73301"
180382,AA Batteries (4-pack),1,3.84,05/21/24 19:16,"14 Street 1 St, Faisalabad, Pakistan 73301"
180383,LG Screen for phones,1,600.0,05/12/24 17:23,"826 Faisal Road St, Peshawar, Pakistan 75001"
180384,Audionic Sport Headphones,1,99.99,05/19/24 12:37,"944 Ghalid road St, Noshero Feroz, Pakistan 73301"
180385,20in Monitor,1,109.99,05/18/24 16:34,"465 New Karachi St, Pakpattan, Pakistan 02215"
180386,20in Monitor,1,109.99,05/27/24 16:04,"603 Shahra e Faisal St, Lahore, Pakistan 10001"
180387,Apple Airpods,1,150.0,05/10/24 13:26,"415 Agra Taj St, Lahore, Pakistan 02215"
180388,USB-C Charging Cable,1,11.95,05/28/24 19:17,"197 Shahra e Faisal St, Bhitt, Pakistan 73301"
180389,USB-C Charging Cable,1,11.95,05/03/24 20:54,"831 Rizvi thana road St, Lahore, Pakistan 94016"
180390,Macbook Pro Laptop,1,1700.0,05/30/24 22:03,"298 Shireen Jinnah road St, Sibbi, Pakistan 73301"
180390,Audionic Sport Headphones,1,99.99,05/30/24 22:03,"298 Shireen Jinnah road St, Sibbi, Pakistan 73301"
180391,ThinkPad Laptop,1,999.99,05/26/24 00:22,"877 5th St, Faisalabad, Pakistan 02215"
180392,Apple Airpods,1,150.0,05/15/24 21:16,"760 New Karachi St, Noshero Feroz, Pakistan 02215"
180393,Wired Headphones,1,11.99,05/31/24 16:41,"911 Bottle Gali St, Peshawar, Pakistan 02215"
180394,Lightning Charging Cable,1,14.95,05/10/24 09:38,"145 Kachi gali St, Faisalabad, Pakistan 94016"
180395,Wired Headphones,1,11.99,05/28/24 09:46,"486 Saddar road St, Faisalabad, Pakistan 10001"
180396,Audionic Sport Headphones,1,99.99,05/28/24 09:56,"394 Street 1 St, Lahore, Pakistan 10001"
180396,Wired Headphones,2,11.99,05/28/24 09:56,"394 Street 1 St, Lahore, Pakistan 10001"
180397,USB-C Charging Cable,1,11.95,05/17/24 22:46,"226 Iqbal Road St, Lahore, Pakistan 02215"
180398,20in Monitor,1,109.99,05/13/24 21:50,"431 Street 1 St, Noshero Feroz, Pakistan 75001"
180399,Wired Headphones,1,11.99,05/21/24 11:49,"360 Liaqat Chowk St, Noshero Feroz, Pakistan 10001"
180400,Flatscreen TV,1,300.0,05/17/24 20:52,"49 Tipu Sultan road St, Sibbi, Pakistan 75001"
180401,Samsung Phone,1,600.0,05/06/24 03:01,"128 8th St, Abottabad, Pakistan 10001"
180402,Wired Headphones,1,11.99,05/03/24 15:48,"912 Liaqat Chowk St, Faisalabad, Pakistan 75001"
180403,27in 4K Gaming Monitor,1,389.99,05/07/24 21:46,"17 Baghdadi St, Faisalabad, Pakistan 10001"
180404,iPhone,1,700.0,05/25/24 15:46,"920 Ghalid road St, Noshero Feroz, Pakistan 10001"
180404,Apple Airpods,1,150.0,05/25/24 15:46,"920 Ghalid road St, Noshero Feroz, Pakistan 10001"
180405,AA Batteries (4-pack),1,3.84,05/16/24 19:21,"244 Sindh house road St, Noshero Feroz, Pakistan 02215"
180406,AAA Batteries (4-pack),1,2.99,05/16/24 11:18,"817 Shireen Jinnah road St, Peshawar, Pakistan 10001"
180407,USB-C Charging Cable,1,11.95,05/08/24 18:24,"868 11th St, Attock, Pakistan 94016"
180408,Apple Airpods,1,150.0,05/03/24 11:12,"656 7th St, Lahore, Pakistan 75001"
180409,Apple Airpods,1,150.0,05/31/24 10:46,"35 Baba Adam road St, Bhitt, Pakistan 73301"
180410,Wired Headphones,1,11.99,05/02/24 20:30,"221 New Karachi St, Abottabad, Pakistan 73301"
180411,AA Batteries (4-pack),1,3.84,05/05/24 15:04,"265 Pakistan Chowk St, Noshero Feroz, Pakistan 10001"
180412,AA Batteries (4-pack),1,3.84,05/27/24 12:21,"475 7th St, Lahore, Pakistan 75001"
180413,Wired Headphones,1,11.99,05/22/24 13:37,"100 Faisal Road St, Faisalabad, Pakistan 94016"
180414,ThinkPad Laptop,1,999.99,05/12/24 08:21,"88 Saifi road St, Peshawar, Pakistan 75001"
180415,AAA Batteries (4-pack),2,2.99,05/24/24 14:52,"906 Bottle Gali St, Bhitt, Pakistan 10001"
180416,Wired Headphones,1,11.99,05/31/24 13:53,"611 Seaview road St, Abottabad, Pakistan 02215"
180417,Wired Headphones,2,11.99,05/10/24 20:10,"993 11th St, Lahore, Pakistan 02215"
180418,Audionic Sport Headphones,1,99.99,05/06/24 17:52,"193 Kachi gali St, Faisalabad, Pakistan 02215"
180419,Wired Headphones,1,11.99,05/05/24 10:52,"478 12th St, Sibbi, Pakistan 75001"
180420,AAA Batteries (4-pack),1,2.99,05/27/24 18:37,"425 Naya road St, Lahore, Pakistan 10001"
180421,AA Batteries (4-pack),1,3.84,05/06/24 12:41,"315 Asad Road St, Faisalabad, Pakistan 73301"
180422,AA Batteries (4-pack),1,3.84,05/12/24 14:54,"947 Sindh house road St, Abottabad, Pakistan 94016"
180423,AA Batteries (4-pack),1,3.84,05/03/24 18:49,"602 Madni Road St, Bhitt, Pakistan 02215"
180423,Samsung Phone,1,600.0,05/03/24 18:49,"602 Madni Road St, Bhitt, Pakistan 02215"
180424,AA Batteries (4-pack),1,3.84,05/12/24 10:05,"427 Asad Road St, Peshawar, Pakistan 10001"
180425,Audionic Sport Headphones,1,99.99,05/23/24 16:19,"905 Seaview road St, Lahore, Pakistan 94016"
180425,USB-C Charging Cable,2,11.95,05/23/24 16:19,"905 Seaview road St, Lahore, Pakistan 94016"
180426,Wired Headphones,1,11.99,05/06/24 21:00,"608 Light house St, Lahore, Pakistan 10001"
180427,Flatscreen TV,1,300.0,05/25/24 11:20,"729 Tipu Sultan road St, Lahore, Pakistan 75001"
180428,AA Batteries (4-pack),3,3.84,05/09/24 19:38,"191 Bhains Colony St, Noshero Feroz, Pakistan 94016"
180429,Audionic Sport Headphones,1,99.99,05/13/24 13:10,"172 Shahra e Faisal St, Bhitt, Pakistan 73301"
