Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
269999,USB-C Charging Cable,1,11.95,11/19/24 10:51,"932 Mithadar St, Dadu, Pakistan 94016"
270000,AAA Batteries (4-pack),1,2.99,11/26/24 01:39,"681 Saddar road St, Sibbi, Pakistan 73301"
270001,Apple Airpods,1,150.0,11/08/24 13:37,"37 Sindh house road St, Abottabad, Pakistan 94016"
270002,Lightning Charging Cable,1,14.95,11/01/24 11:21,"760 Rizvi thana road St, Bhitt, Pakistan 94016"
270003,AAA Batteries (4-pack),1,2.99,11/20/24 10:50,"43 Ghalid road St, Abottabad, Pakistan 02215"
270004,Wired Headphones,1,11.99,11/18/24 20:48,"502 4th St, Abottabad, Pakistan 75001"
270005,Wired Headphones,3,11.99,11/26/24 10:29,"716 4th St, Dadu, Pakistan 75001"
270006,34in Ultrawide Monitor,1,379.99,11/25/24 11:04,"142 Iqbal Road St, Noshero Feroz, Pakistan 73301"
270007,Lightning Charging Cable,1,14.95,11/18/24 15:44,"816 Old Karachi road St, Faisalabad, Pakistan 94016"
270008,AAA Batteries (4-pack),1,2.99,11/29/24 01:16,"615 Kharadar St, Noshero Feroz, Pakistan 10001"
270009,Wired Headphones,1,11.99,11/10/24 19:31,"900 Perfume Chowk St, Faisalabad, Pakistan 10001"
270009,Flatscreen TV,1,300.0,11/10/24 19:31,"900 Perfume Chowk St, Faisalabad, Pakistan 10001"
270010,AAA Batteries (4-pack),2,2.99,11/06/24 09:34,"834 Baghdadi St, Attock, Pakistan 73301"
270011,USB-C Charging Cable,1,11.95,11/08/24 20:31,"399 Faisal Road St, Bhitt, Pakistan 94016"
270012,Audionic Sport Headphones,1,99.99,11/01/24 11:47,"725 Purani Sabzimandi road St, Dadu, Pakistan 10001"
270012,USB-C Charging Cable,1,11.95,11/01/24 11:47,"725 Purani Sabzimandi road St, Dadu, Pakistan 10001"
270013,Flatscreen TV,1,300.0,11/11/24 18:25,"590 Saddar road St, Faisalabad, Pakistan 10001"
270014,Audionic Sport Headphones,1,99.99,11/29/24 21:41,"817 10th St, Sibbi, Pakistan 02215"
270014,Wired Headphones,1,11.99,11/29/24 21:41,"817 10th St, Sibbi, Pakistan 02215"
270015,Wired Headphones,1,11.99,11/06/24 06:03,"71 Naya road St, Faisalabad, Pakistan 02215"
270016,AAA Batteries (4-pack),1,2.99,11/02/24 22:00,"252 New Karachi St, Peshawar, Pakistan 73301"
270017,Apple Airpods,1,150.0,11/29/24 16:02,"428 Ilmi kitab ghar road St, Dadu, Pakistan 73301"
270018,USB-C Charging Cable,1,11.95,11/07/24 14:46,"555 Sindh house road St, Dadu, Pakistan 10001"
270019,USB-C Charging Cable,1,11.95,11/22/24 08:20,"140 Mithadar St, Lahore, Pakistan 94016"
270020,Audionic Sport Headphones,1,99.99,11/14/24 00:29,"115 Hikmat chowk St, Sibbi, Pakistan 75001"
270021,27in FHD Monitor,1,149.99,11/14/24 06:26,"329 Light house St, Noshero Feroz, Pakistan 73301"
270021,27in 4K Gaming Monitor,1,389.99,11/14/24 06:26,"329 Light house St, Noshero Feroz, Pakistan 73301"
270022,USB-C Charging Cable,1,11.95,11/29/24 21:23,"475 Jafri sons Road St, Peshawar, Pakistan 73301"
270022,Apple Airpods,1,150.0,11/29/24 21:23,"475 Jafri sons Road St, Peshawar, Pakistan 73301"
270023,iPhone,1,700.0,11/09/24 00:22,"349 Faisal Road St, Sibbi, Pakistan 75001"
270024,Wired Headphones,1,11.99,11/20/24 20:00,"807 Baghdadi St, Noshero Feroz, Pakistan 10001"
270025,AA Batteries (4-pack),2,3.84,11/18/24 07:37,"193 10th St, Faisalabad, Pakistan 94016"
270026,USB-C Charging Cable,1,11.95,11/30/24 12:47,"432 8th St, Dadu, Pakistan 73301"
270027,Flatscreen TV,1,300.0,11/04/24 19:36,"111 Old Karachi road St, Noshero Feroz, Pakistan 73301"
270028,AAA Batteries (4-pack),1,2.99,11/25/24 03:10,"928 Jafri sons Road St, Bhitt, Pakistan 02215"
270029,Lightning Charging Cable,1,14.95,11/07/24 13:07,"69 Pakistan Chowk St, Bhitt, Pakistan 94016"
