Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
265374,USB-C Charging Cable,1,11.95,10/28/24 02:53,"212 Urdu Bazar road St, Peshawar, Pakistan 02215"
265375,Audionic Sport Headphones,1,99.99,10/18/24 23:53,"249 Kharadar St, Faisalabad, Pakistan 10001"
265376,27in FHD Monitor,1,149.99,10/04/24 10:12,"62 1st St, Lahore, Pakistan 73301"
265377,USB-C Charging Cable,1,11.95,10/26/24 09:00,"719 7th St, Peshawar, Pakistan 73301"
265378,Lightning Charging Cable,1,14.95,10/12/24 21:05,"537 Shujaat Road St, Faisalabad, Pakistan 02215"
265379,USB-C Charging Cable,1,11.95,10/08/24 11:16,"402 Ilmi kitab ghar road St, Bhitt, Pakistan 73301"
265380,27in FHD Monitor,2,149.99,10/26/24 23:36,"369 Mukka Chowk St, Abottabad, Pakistan 02215"
265381,USB-C Charging Cable,1,11.95,10/20/24 09:32,"481 Saddar road St, Lahore, Pakistan 73301"
265382,Samsung Phone,1,600.0,10/17/24 16:42,"254 Pakistan Chowk St, Dadu, Pakistan 94016"
265383,27in 4K Gaming Monitor,1,389.99,10/13/24 14:32,"721 Light house St, Lahore, Pakistan 02215"
265384,Macbook Pro Laptop,1,1700.0,10/28/24 21:32,"350 Light house St, Attock, Pakistan 73301"
265385,27in 4K Gaming Monitor,1,389.99,10/19/24 14:36,"600 Kharadar St, Lahore, Pakistan 75001"
265386,USB-C Charging Cable,1,11.95,10/27/24 12:54,"802 Tipu Sultan road St, Bhitt, Pakistan 02215"
265387,AAA Batteries (4-pack),1,2.99,10/21/24 15:02,"955 Saifi road St, Bhitt, Pakistan 10001"
265388,Samsung Phone,1,600.0,10/16/24 22:24,"524 Seaview road St, Attock, Pakistan 75001"
265389,27in FHD Monitor,1,149.99,10/02/24 15:17,"767 Shireen Jinnah road St, Sibbi, Pakistan 75001"
265390,Wired Headphones,1,11.99,10/17/24 09:35,"57 Street 1 St, Noshero Feroz, Pakistan 02215"
265391,AAA Batteries (4-pack),1,2.99,10/31/24 16:18,"644 Hikmat chowk St, Peshawar, Pakistan 75001"
265392,20in Monitor,1,109.99,10/19/24 13:08,"249 4th St, Peshawar, Pakistan 73301"
265393,Flatscreen TV,1,300.0,10/06/24 12:03,"973 Kharadar St, Noshero Feroz, Pakistan 73301"
265394,Audionic Sport Headphones,1,99.99,10/06/24 21:13,"431 1st St, Bhitt, Pakistan 02215"
265395,Lightning Charging Cable,1,14.95,10/22/24 20:29,"370 7th St, Faisalabad, Pakistan 02215"
265396,Samsung Phone,1,600.0,10/20/24 13:45,"724 Kachi gali St, Faisalabad, Pakistan 94016"
265397,Macbook Pro Laptop,1,1700.0,10/20/24 14:53,"863 Kharadar St, Bhitt, Pakistan 94016"
265398,iPhone,1,700.0,10/17/24 20:41,"619 Naya road St, Attock, Pakistan 73301"
265399,ThinkPad Laptop,1,999.99,10/16/24 11:43,"426 Urdu Bazar road St, Bhitt, Pakistan 02215"
265400,AA Batteries (4-pack),1,3.84,10/01/24 18:25,"548 Saddar road St, Sibbi, Pakistan 75001"
265401,Apple Airpods,1,150.0,10/25/24 14:26,"351 Saddar road St, Noshero Feroz, Pakistan 02215"
265402,Wired Headphones,1,11.99,10/31/24 21:03,"453 2nd St, Peshawar, Pakistan 02215"
265403,34in Ultrawide Monitor,1,379.99,10/04/24 13:23,"176 Asad Road St, Lahore, Pakistan 02215"
265404,Wired Headphones,1,11.99,10/10/24 19:05,"184 Old Karachi road St, Noshero Feroz, Pakistan 10001"
265405,USB-C Charging Cable,1,11.95,10/30/24 14:06,"721 Perfume Chowk St, Attock, Pakistan 02215"
265406,AA Batteries (4-pack),1,3.84,10/25/24 14:53,"552 Perfume Chowk St, Attock, Pakistan 02215"
265407,Wired Headphones,3,11.99,10/30/24 23:10,"691 New Karachi St, Bhitt, Pakistan 73301"
265408,Wired Headphones,1,11.99,10/09/24 10:44,"691 Shahra e Faisal St, Lahore, Pakistan 94016"
265409,ThinkPad Laptop,1,999.99,10/07/24 17:42,"647 5th St, Abottabad, Pakistan 10001"
265410,iPhone,1,700.0,10/19/24 14:45,"562 Iqbal Road St, Noshero Feroz, Pakistan 75001"
265411,Wired Headphones,1,11.99,10/09/24 02:04,"843 Mukka Chowk St, Sibbi, Pakistan 73301"
265412,AAA Batteries (4-pack),1,2.99,10/22/24 12:25,"336 Madni Road St, Attock, Pakistan 73301"
265413,Lightning Charging Cable,1,14.95,10/24/24 20:40,"324 Urdu Bazar road St, Faisalabad, Pakistan 02215"
265414,AAA Batteries (4-pack),1,2.99,10/15/24 14:32,"55 Light house St, Bhitt, Pakistan 73301"
265415,USB-C Charging Cable,1,11.95,10/09/24 10:26,"113 Baba Adam road St, Lahore, Pakistan 10001"
265416,20in Monitor,1,109.99,10/27/24 20:20,"480 Jafri sons Road St, Peshawar, Pakistan 73301"
265417,Lightning Charging Cable,1,14.95,10/27/24 10:55,"320 Purani Sabzimandi road St, Faisalabad, Pakistan 94016"
265418,AAA Batteries (4-pack),2,2.99,10/13/24 09:40,"826 4th St, Sibbi, Pakistan 94016"
265419,Wired Headphones,1,11.99,10/23/24 12:26,"352 Asad Road St, Abottabad, Pakistan 75001"
265420,Samsung Phone,1,600.0,10/28/24 15:37,"398 Kharadar St, Faisalabad, Pakistan 02215"
265421,Samsung Phone,1,600.0,10/15/24 09:17,"69 Sindh house road St, Faisalabad, Pakistan 10001"
265422,iPhone,1,700.0,10/31/24 14:13,"74 Madni Road St, Attock, Pakistan 75001"
265423,Apple Airpods,1,150.0,10/18/24 16:10,"716 Light house St, Bhitt, Pakistan 73301"
265424,AAA Batteries (4-pack),1,2.99,10/16/24 08:13,"902 12th St, Faisalabad, Pakistan 75001"
265425,AA Batteries (4-pack),1,3.84,10/09/24 20:14,"504 Kharadar St, Lahore, Pakistan 75001"
265426,Audionic Sport Headphones,1,99.99,10/08/24 13:43,"100 6th St, Noshero Feroz, Pakistan 02215"
265427,AAA Batteries (4-pack),2,2.99,10/31/24 09:35,"58 Urdu Bazar road St, Faisalabad, Pakistan 02215"
265428,USB-C Charging Cable,1,11.95,10/13/24 22:01,"615 Rizvi thana road St, Sibbi, Pakistan 94016"
265429,AAA Batteries (4-pack),2,2.99,10/27/24 13:51,"836 Baba Adam road St, Faisalabad, Pakistan 02215"
265430,Wired Headphones,1,11.99,10/03/24 16:04,"507 Kharadar St, Faisalabad, Pakistan 75001"
265431,AA Batteries (4-pack),1,3.84,10/24/24 11:50,"323 Perfume Chowk St, Faisalabad, Pakistan 10001"
265432,USB-C Charging Cable,1,11.95,10/21/24 20:52,"106 Saddar road St, Dadu, Pakistan 75001"
265433,Audionic Sport Headphones,1,99.99,10/11/24 18:22,"394 Mukka Chowk St, Faisalabad, Pakistan 73301"
265433,USB-C Charging Cable,1,11.95,10/11/24 18:22,"394 Mukka Chowk St, Faisalabad, Pakistan 73301"
265434,USB-C Charging Cable,1,11.95,10/23/24 13:59,"205 Hikmat chowk St, Lahore, Pakistan 02215"
265435,iPhone,1,700.0,10/26/24 17:45,"50 Agra Taj St, Faisalabad, Pakistan 02215"
265436,USB-C Charging Cable,1,11.95,10/31/24 22:14,"928 Quad-e-Azam Road St, Dadu, Pakistan 75001"
265437,AAA Batteries (4-pack),4,2.99,10/24/24 18:08,"221 Saddar road St, Lahore, Pakistan 75001"
265438,AAA Batteries (4-pack),1,2.99,10/02/24 13:40,"323 Baba Adam road St, Noshero Feroz, Pakistan 10001"
265439,iPhone,1,700.0,10/12/24 17:59,"519 7th St, Noshero Feroz, Pakistan 75001"
265439,Lightning Charging Cable,1,14.95,10/12/24 17:59,"519 7th St, Noshero Feroz, Pakistan 75001"
265439,Apple Airpods,1,150.0,10/12/24 17:59,"519 7th St, Noshero Feroz, Pakistan 75001"
265440,27in FHD Monitor,1,149.99,10/28/24 11:50,"606 Niazi Chowk St, Faisalabad, Pakistan 73301"
265441,Apple Airpods,1,150.0,10/25/24 10:18,"827 Tipu Sultan road St, Lahore, Pakistan 02215"
