Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
242297,AAA Batteries (4-pack),2,2.99,09/28/24 09:58,"560 Shujaat Road St, Faisalabad, Pakistan 02215"
242298,Lightning Charging Cable,1,14.95,09/17/24 17:29,"893 Saifi road St, Noshero Feroz, Pakistan 02215"
242299,AA Batteries (4-pack),1,3.84,09/04/24 22:59,"124 Baba Adam road St, Abottabad, Pakistan 10001"
242300,AAA Batteries (4-pack),1,2.99,09/28/24 23:32,"891 Pakistan Chowk St, Lahore, Pakistan 02215"
242301,27in 4K Gaming Monitor,1,389.99,09/27/24 19:02,"953 5th St, Faisalabad, Pakistan 73301"
242302,27in FHD Monitor,1,149.99,09/09/24 12:54,"268 4th St, Faisalabad, Pakistan 10001"
242303,Apple Airpods,1,150.0,09/14/24 17:33,"40 12th St, Sibbi, Pakistan 10001"
242304,AAA Batteries (4-pack),1,2.99,09/11/24 20:25,"374 Bottle Gali St, Noshero Feroz, Pakistan 10001"
242305,Lightning Charging Cable,1,14.95,09/16/24 13:07,"517 2nd St, Faisalabad, Pakistan 02215"
242306,Samsung Phone,1,600.0,09/13/24 13:43,"769 Naya road St, Bhitt, Pakistan 02215"
242307,34in Ultrawide Monitor,1,379.99,09/04/24 08:52,"624 Pakistan Chowk St, Noshero Feroz, Pakistan 73301"
242308,27in 4K Gaming Monitor,1,389.99,09/17/24 09:41,"114 Baba Adam road St, Faisalabad, Pakistan 94016"
242309,Wired Headphones,2,11.99,09/11/24 14:47,"531 Ilmi kitab ghar road St, Faisalabad, Pakistan 94016"
242310,AAA Batteries (4-pack),1,2.99,09/02/24 23:11,"303 Kachi gali St, Attock, Pakistan 73301"
242311,Apple Airpods,1,150.0,09/09/24 12:14,"17 Bhains Colony St, Noshero Feroz, Pakistan 10001"
242312,20in Monitor,1,109.99,09/05/24 21:30,"551 Niazi Chowk St, Bhitt, Pakistan 02215"
242313,Audionic Sport Headphones,1,99.99,09/19/24 15:40,"128 11th St, Noshero Feroz, Pakistan 94016"
242314,34in Ultrawide Monitor,1,379.99,09/28/24 19:53,"66 2nd St, Attock, Pakistan 10001"
242315,Audionic Sport Headphones,1,99.99,09/08/24 21:36,"816 Kachi gali St, Lahore, Pakistan 10001"
242315,USB-C Charging Cable,1,11.95,09/08/24 21:36,"816 Kachi gali St, Lahore, Pakistan 10001"
242316,Apple Airpods,1,150.0,09/05/24 11:22,"258 Shujaat Road St, Faisalabad, Pakistan 75001"
242317,ThinkPad Laptop,1,999.99,09/18/24 13:16,"147 7th St, Dadu, Pakistan 73301"
242318,Samsung Phone,1,600.0,09/25/24 21:04,"770 Naya road St, Faisalabad, Pakistan 75001"
242319,AAA Batteries (4-pack),1,2.99,09/23/24 16:39,"164 Old Karachi road St, Bhitt, Pakistan 75001"
242320,ThinkPad Laptop,1,999.99,09/30/24 18:49,"973 8th St, Noshero Feroz, Pakistan 10001"
242321,Apple Airpods,1,150.0,09/02/24 11:46,"597 Light house St, Faisalabad, Pakistan 02215"
242322,iPhone,1,700.0,09/08/24 17:45,"258 Madni Road St, Faisalabad, Pakistan 02215"
242322,Apple Airpods,1,150.0,09/08/24 17:45,"258 Madni Road St, Faisalabad, Pakistan 02215"
242322,USB-C Charging Cable,1,11.95,09/08/24 17:45,"258 Madni Road St, Faisalabad, Pakistan 02215"
242323,Apple Airpods,1,150.0,09/14/24 11:35,"830 Mithadar St, Lahore, Pakistan 94016"
242324,LG Screen for phones,1,600.0,09/27/24 19:37,"440 Perfume Chowk St, Noshero Feroz, Pakistan 75001"
242325,Lightning Charging Cable,1,14.95,09/28/24 09:51,"902 Rizvi thana road St, Faisalabad, Pakistan 75001"
242326,AAA Batteries (4-pack),1,2.99,09/15/24 10:28,"546 Tipu Sultan road St, Lahore, Pakistan 10001"
242327,USB-C Charging Cable,1,11.95,09/21/24 19:58,"522 5th St, Faisalabad, Pakistan 75001"
242328,Lightning Charging Cable,1,14.95,09/18/24 12:24,"805 Baghdadi St, Lahore, Pakistan 75001"
242329,USB-C Charging Cable,1,11.95,09/28/24 14:22,"742 Naya road St, Lahore, Pakistan 75001"
242330,34in Ultrawide Monitor,1,379.99,09/02/24 10:12,"193 Mukka Chowk St, Faisalabad, Pakistan 75001"
242331,AA Batteries (4-pack),1,3.84,09/09/24 21:58,"475 Hikmat chowk St, Faisalabad, Pakistan 10001"
242332,Audionic Sport Headphones,1,99.99,09/26/24 11:27,"418 Purani Sabzimandi road St, Pakpattan, Pakistan 02215"
242333,Audionic Sport Headphones,1,99.99,09/14/24 21:39,"345 1st St, Dadu, Pakistan 75001"
242333,LG Laptop Battery,1,600.0,09/14/24 21:39,"345 1st St, Dadu, Pakistan 75001"
242334,Flatscreen TV,1,300.0,09/30/24 11:39,"427 Mukka Chowk St, Lahore, Pakistan 75001"
242335,34in Ultrawide Monitor,1,379.99,09/22/24 02:07,"945 Bottle Gali St, Lahore, Pakistan 10001"
242336,USB-C Charging Cable,1,11.95,09/27/24 12:53,"945 4th St, Attock, Pakistan 73301"
242337,Audionic Sport Headphones,1,99.99,09/26/24 10:33,"139 Hikmat chowk St, Peshawar, Pakistan 02215"
242338,iPhone,1,700.0,09/17/24 12:06,"930 Light house St, Faisalabad, Pakistan 94016"
242339,USB-C Charging Cable,1,11.95,09/02/24 14:27,"80 4th St, Attock, Pakistan 10001"
242340,34in Ultrawide Monitor,1,379.99,09/22/24 11:45,"120 Jafri sons Road St, Noshero Feroz, Pakistan 75001"
242341,27in FHD Monitor,1,149.99,09/22/24 11:18,"850 4th St, Attock, Pakistan 73301"
242342,Macbook Pro Laptop,1,1700.0,09/16/24 16:35,"86 Faisal Road St, Noshero Feroz, Pakistan 73301"
242343,AAA Batteries (4-pack),1,2.99,09/10/24 18:52,"136 Agra Taj St, Faisalabad, Pakistan 94016"
242344,Wired Headphones,1,11.99,09/26/24 10:44,"224 10th St, Abottabad, Pakistan 02215"
